,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation
79102,902896640427565057,#HURRICANEHARVEY Nation's largest refinery shuts down as Harvey floods Texas; gas… https://t.co/qSmvgjg2XU YOUR GUL… https://t.co/Oh3mSbeQ4t,http://twitter.com/Fox26Houston/statuses/902896640427565057,2017-08-30 14:11:48+00:00,original_tweet,fox26houston,FOX26Houston,17094323,5367,255547,True,2008-10-31T23:36:58.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DIe7tIWVYAE72xy.jpg'],
79100,902896657066549248,"Today's front page from the @HoustonChron: ""Epic Flooding Shows No Mercy""  #Harvey #HurricaneHarvey #HoustonFlood… https://t.co/ujng69Dx7T",http://twitter.com/TexasTribune/statuses/902896657066549248,2017-08-30 14:11:52+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150689,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIe7o2qVoAAqPmJ.jpg'],
79105,902896742575767552,The Texas Department of Public Safety is investigating a one-vehicle crash that left one dead.… https://t.co/CUyGE2ZH8p,http://twitter.com/krgv/statuses/902896742575767552,2017-08-30 14:12:13+00:00,original_tweet,krgv,KRGV CHANNEL 5 NEWS,17288391,296,91521,False,2008-11-10T15:31:41.000Z,"Weslaco, Texas, US",photo,['http://pbs.twimg.com/media/DIe7zTXUEAQ3vyO.jpg'],
79103,902896779443744769,Mostly sunny skies &amp; warmer conditions w/ highs in the 90s. A small craft advisories is in effect across the waters… https://t.co/0w6SX2sXrQ,http://twitter.com/NWSCorpus/statuses/902896779443744769,2017-08-30 14:12:21+00:00,original_tweet,nwscorpus,NWS Corpus Christi,589561485,81,20151,True,2012-05-24T22:38:07.000Z,"Corpus Christi, Texas",photo,['http://pbs.twimg.com/media/DIe7VYCV4AEjXBZ.jpg'],
79104,902896811932880896,"THANK YOU @HoustonISD | Students to receive  three free meals a day. Decision helps recovery, looks out for our kid… https://t.co/qCbUSCOZng",http://twitter.com/DisasterPIO/statuses/902896811932880896,2017-08-30 14:12:29+00:00,original_tweet,disasterpio,Francisco Sanchez,18183134,960,3730,False,2008-12-17T05:25:08.000Z,"Houston/Harris County, TX",photo,['http://pbs.twimg.com/media/DIe7NKOVwAAvZGr.jpg'],"Houston, TX"
79107,902897013104267264,"@CajunAngela of @BakerRipley addresses and thanks volunteers at @NRGParkFan shelter. The community - biz, govt and… https://t.co/koBv9fosDf",http://twitter.com/EdEmmett/statuses/902897013104267264,2017-08-30 14:13:17+00:00,original_tweet,edemmett,Official Ed Emmett,244783424,554,6253,False,2011-01-30T03:50:29.000Z,"Harris County, TX",photo,['http://pbs.twimg.com/media/DIe8CuSUMAAPLut.jpg'],
79117,902898025215000577,"Head to Footsies on the Strand had about 18 inches inside. Luckily, all products are past a staircase and didn't ge… https://t.co/yz6tr88Pfq",http://twitter.com/sam_kett/statuses/902898025215000577,2017-08-30 14:17:18+00:00,original_tweet,sam_kett,Samantha Ketterer,90014417,1155,1189,False,2009-11-14T20:29:12.000Z,"Galveston, TX",photo,['http://pbs.twimg.com/media/DIe89ikVYAEX6ki.jpg'],
80944,902900603852029952,"From @thedailybeast: ""A love letter to my sprawling, scrappy hometown of Houston."" #Harvey #HurricaneHarvey… https://t.co/UQDOAMnwWP",http://twitter.com/TexasTribune/statuses/902900603852029952,2017-08-30 14:27:33+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150689,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIe_PuOVoAAZZ5M.jpg'],
80953,902901129478098945,Judges are hosting a blood drive today until 3 p.m. outside of the county courthouse for those needing blood in wak… https://t.co/evzIIhO4kQ,http://twitter.com/CallerElly/statuses/902901129478098945,2017-08-30 14:29:39+00:00,original_tweet,callerelly,Eleanor Dearman,595054855,947,1420,False,2012-05-31T01:07:00.000Z,"Corpus Christi, TX",video,['https://video.twimg.com/ext_tw_video/902900971071668225/pu/vid/320x180/YnFOXUJCA9bMyLqT.mp4'],
84212,902902085540356096,"While 96% of our customers have power, 40,000 are still impacted by high water. We will get them back on as soon as… https://t.co/mTnA48OJQe",http://twitter.com/CNPalerts/statuses/902902085540356096,2017-08-30 14:33:26+00:00,original_tweet,cnpalerts,CenterPoint Energy,97480523,497,9117,False,2009-12-17T16:51:14.000Z,"Houston, TX",photo,"['http://pbs.twimg.com/media/DIfAfQEVAAEm2gD.jpg', 'http://pbs.twimg.com/media/DIfAhHZVoAIWNKo.jpg', 'http://pbs.twimg.com/media/DIfAlVkV4AE1Dzw.jpg', 'http://pbs.twimg.com/media/DIfAnY4UQAEd6fN.jpg']","Houston, TX"
84217,902902489397071872,'So obsolete it's ... unbelievable.' Experts decry Houston's depression-era drainage system https://t.co/ldUf6SGj7d… https://t.co/eKhZvJIaTF,http://twitter.com/weatherchannel/statuses/902902489397071872,2017-08-30 14:35:03+00:00,original_tweet,weatherchannel,The Weather Channel,20998647,6333,2956307,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DIfBBzmUwAAMvwW.jpg'],
84221,902902492773531648,#HURRICANEHARVEY Houston Zoo provides livestreams to allow public to check in on… https://t.co/OPazOQks7P YOUR GULF… https://t.co/58EHdZ2qb3,http://twitter.com/Fox26Houston/statuses/902902492773531648,2017-08-30 14:35:04+00:00,original_tweet,fox26houston,FOX26Houston,17094323,5367,255571,True,2008-10-31T23:36:58.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DIfBB_zVYAIBWjF.jpg'],
84220,902902679697018880,30 people have been killed as a result of #Harvey since Friday.   Here's what you need to know today.… https://t.co/qv1yD2J3y1,http://twitter.com/TexasTribune/statuses/902902679697018880,2017-08-30 14:35:48+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150690,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIfBM3sUEAAJd_f.jpg'],
84224,902902800207810560,Important: When escaping flood waters in your home DO NOT get trapped in your attic. Get on the roof and call 911.… https://t.co/96F9iuvnx2,http://twitter.com/NWS/statuses/902902800207810560,2017-08-30 14:36:17+00:00,original_tweet,nws,NWS,454313925,285,2385034,True,2012-01-03T21:24:25.000Z,United States,photo,['http://pbs.twimg.com/media/DIfBO0XVwAA0hcI.jpg'],
84227,902903356489949184,"Customers may see crews who then move on. Often, they are assessing damage to determine what equipment &amp; crew is ne… https://t.co/WvX3UUPpPW",http://twitter.com/CNPalerts/statuses/902903356489949184,2017-08-30 14:38:29+00:00,original_tweet,cnpalerts,CenterPoint Energy,97480523,497,9118,False,2009-12-17T16:51:14.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DIfBYvKVYAE49yj.jpg'],"Houston, TX"
84230,902903650250579968,"On this day in 1836, Houston was founded on land near the banks of Buffalo Bayou.  Happy birthday!  Now, let's clea… https://t.co/jPLYZgbzYo",http://twitter.com/BillBishopKHOU/statuses/902903650250579968,2017-08-30 14:39:40+00:00,original_tweet,billbishopkhou,The Bishop,19720364,1791,10119,True,2009-01-29T17:02:41.000Z,,photo,['http://pbs.twimg.com/media/DIfCEggUEAAA6RP.jpg'],
62208,902904274082025472,"In the aftermath of Harvey, rescuers are urging victims to get out of their homes and to safety. Tune into The Weat… https://t.co/DuuyYGYtUD",http://twitter.com/weatherchannel/statuses/902904274082025472,2017-08-30 14:42:08+00:00,original_tweet,weatherchannel,The Weather Channel,20998647,6333,2956342,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",video,['https://video.twimg.com/ext_tw_video/902904132264108032/pu/vid/320x180/FO7PUl4sd0NgxaIp.mp4'],
62212,902904517322268673,MANDATORY EVACUATION order still in place for the Inverness Forest area on select area marked on map! It's not the… https://t.co/yEAyFVSJQY,http://twitter.com/hcfcd/statuses/902904517322268673,2017-08-30 14:43:06+00:00,original_tweet,hcfcd,HCFCD,3246819331,279,9201,False,2015-06-16T12:40:01.000Z,"Harris County, Texas",photo,['http://pbs.twimg.com/media/DIfCjRYVAAIeCc9.jpg'],
