,Unnamed: 0,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc,hrisk_img,relevant,forecast
66,66,901195575504375808,Power outage model from university researchers projects nearly a million outages from #Harvey in Texas:… https://t.co/4QrVx2zkhU,http://twitter.com/capitalweather/statuses/901195575504375808,2017-08-25 21:32:23+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961782,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIGwhD3W0AAj0j9.jpg'],,901195575504375,yes,yes,yes
67,67,901223106697711616,"A look at Cat 4 #Hurricane Harvey, just hours from landfall. https://t.co/NcsIJyDdvE",http://twitter.com/capitalweather/statuses/901223106697711616,2017-08-25 23:21:47+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961865,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIHJnlkXYAAvzAf.jpg'],,901223106697711,yes,yes,no
68,68,901239169808310273,824p: Harvey's destructive eyewall to move ashore next couple hours. Worst N of Corpus Christi https://t.co/VecmKgsgm5,http://twitter.com/capitalweather/statuses/901239169808310273,2017-08-26 00:25:36+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961927,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIHYPsVXcAQBzbe.mp4'],,901239169808310,yes,yes,yes
70,70,901266357597212672,"1012p: Rockport, Tex getting absolutely hammered by Harvey's western eyewall. https://t.co/0g4wdBKPjc",http://twitter.com/capitalweather/statuses/901266357597212672,2017-08-26 02:13:39+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,962051,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIHw-LLW0AAzW8A.mp4'],,901266357597212,yes,yes,yes
71,71,901270411597533185,"#Harvey has already dumped up to 5"" of rain in spots. Just a drop though compared to what may fall next several day… https://t.co/cPkl4QOvrj",http://twitter.com/capitalweather/statuses/901270411597533185,2017-08-26 02:29:45+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,962072,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIH0qYvXsAAX1Ea.jpg'],,901270411597533,yes,yes,yes
72,72,901296135075188736,"1210a: Eye of #Harvey over Rockport, Tex. where structures damaged. More damaging winds to come. https://t.co/K5KRFz01yU",http://twitter.com/capitalweather/statuses/901296135075188736,2017-08-26 04:11:58+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,962161,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIIMDkYWsAEA-NG.mp4'],,901296135075188,yes,yes,yes
73,73,901311526686134274,"@FireChiefofHFD @MarioGa50826448 Alerta de Inundaciones ha sido extendida incluyendo Houston ,Polk y Trinity hasta… https://t.co/mggKQTQePF",http://twitter.com/cohoustonfire/statuses/901311526686134274,2017-08-26 05:13:08+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,290,18804,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,"['http://pbs.twimg.com/media/DIIaDSdVwAEYivr.jpg', 'http://pbs.twimg.com/media/DIIaDScUMAACpsh.jpg']","Houston, TX",901311526686134,yes,yes,yes
75,75,901449773290582018,"1020a: Core of #Harvey just W of Victoria, Tex. Torrential rain, strong winds esp there & east. https://t.co/UDGRmJOJmH",http://twitter.com/capitalweather/statuses/901449773290582018,2017-08-26 14:22:28+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,962508,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIKXycvXsAA9nQV.mp4'],,901449773290582,yes,yes,yes
78,78,901471006187024387,"Rainfall amounts rising from #Harvey, nearing 15 inches in some areas: https://t.co/QdPiUB0PYY https://t.co/EFEU8EgYq7",http://twitter.com/capitalweather/statuses/901471006187024387,2017-08-26 15:46:51+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,962537,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,"['http://pbs.twimg.com/media/DIKrBO-U0AA4-nq.jpg', 'http://pbs.twimg.com/media/DIKrE7ZVoAAA3-_.jpg']",,901471006187024,yes,yes,no
79,79,901472809884545024,With #HurricaneHarvey over land we are done flying. See all of the flights from #NOAA42 (P3) & #NOAA49 (G-IV) over… https://t.co/52dfjQC1fr,http://twitter.com/NOAA_HurrHunter/statuses/901472809884545024,2017-08-26 15:54:01+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,221,55234,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,"['http://pbs.twimg.com/media/DIKsukQXUAUva3G.jpg', 'http://pbs.twimg.com/media/DIKsukZXkAAp3FE.jpg']",,901472809884545,yes,yes,no
80,80,901519752534863872,Brazos and San Bernard rivers forecast to set new records on Monday and Tuesday. This is incredible.… https://t.co/5amSzxqGVl,http://twitter.com/capitalweather/statuses/901519752534863872,2017-08-26 19:00:33+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1327,962661,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,"['http://pbs.twimg.com/media/DILXUvmXYAIX5JQ.jpg', 'http://pbs.twimg.com/media/DILXaOJW0AEsbRU.jpg']",,901519752534863,yes,yes,yes
81,81,901539402601680897,"All in all, around 50 river gauges across Southeast Texas are predicted to crest in major flood stage.… https://t.co/tZmRPy1QHQ",http://twitter.com/capitalweather/statuses/901539402601680897,2017-08-26 20:18:38+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1327,962702,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DILpRmMXkAAdN6S.jpg'],,901539402601680,yes,yes,yes
84,84,901620268115906561,"Widespread 6-12"" of rain already in SE Texas, isolated areas of 18-20"". Still 15-25""+ yet to come. More info:… https://t.co/G8FgkqR8q4",http://twitter.com/capitalweather/statuses/901620268115906561,2017-08-27 01:39:57+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1327,962856,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,"['http://pbs.twimg.com/media/DIMyN9RXoAADaIz.jpg', 'http://pbs.twimg.com/media/DIMyQbtW0AE00N4.jpg']",,901620268115906,yes,yes,yes
85,85,901626841160712194,1003p: Intense feeder band from #Harvey to bring torrential rain into Houston; rough night ahead https://t.co/1aEkICiBxw,http://twitter.com/capitalweather/statuses/901626841160712194,2017-08-27 02:06:05+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1327,962884,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIM41CNXYAECad2.mp4'],,901626841160712,yes,yes,yes
87,87,901639713752264704,"This is what four inches of rain in an hour can do to Brays Bayou. That's what it looked like at 3pm-ish, at the st… https://t.co/nR601pHGjh",http://twitter.com/ndhapple/statuses/901639713752264704,2017-08-27 02:57:14+00:00,original_tweet,ndhapple,Nolan Hicks,16661097,711,3877,False,2008-10-09T02:55:10.000Z,"Austin, TX",photo,"['http://pbs.twimg.com/media/DINEhZbVwAIM8Ib.jpg', 'http://pbs.twimg.com/media/DINEhZcVYAAmsv_.jpg']",,901639713752264,yes,yes,no
90,90,901783557009485824,"Rain totals across Houston for the last 12hrs: Southeast (Hobby), 3rd/5th Wards, 6th Ward/Neartown, Southwest (Meye… https://t.co/PCXSGOEbUY",http://twitter.com/ndhapple/statuses/901783557009485824,2017-08-27 12:28:48+00:00,original_tweet,ndhapple,Nolan Hicks,16661097,711,3887,False,2008-10-09T02:55:10.000Z,"Austin, TX",photo,['http://pbs.twimg.com/media/DIPGp-rUMAEA0C4.jpg'],,901783557009485,yes,yes,no
