,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc
23994,901124771957682176,Live radar image from moments ago on P-3 #NOAA42. The crew will make multiple passes through the eye. Advisories at… https://t.co/Fhdf1Aeg3h,http://twitter.com/NOAA_HurrHunter/statuses/901124771957682176,2017-08-25 16:51:02+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,53278,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIFwDjvXsAEGHXu.jpg'],,901124771957682
24014,901126293537914881,#NOAA42 in the eye of #HurricaneHarvey now. Strong winds recorded in the eyewall. Advisories at… https://t.co/yxtZ5KpnUr,http://twitter.com/NOAA_HurrHunter/statuses/901126293537914881,2017-08-25 16:57:05+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,53293,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIFxVfhWAAAyjCx.jpg'],,901126293537914
65884,901132820638294016,Tropical-storm-force winds have reached Texas coast. Storm surge of 1-2 ft reported already. Updated #Harvey info:… https://t.co/k15v2cnztz,http://twitter.com/capitalweather/statuses/901132820638294016,2017-08-25 17:23:01+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961584,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIF3ZvVWsAEom4G.jpg'],,901132820638294
69970,901135063911366657,"Scary, close-up @WeatherBell map of GFS model rainfall forecast for region around Houston. More on #Harvey:… https://t.co/1NPQu8VmO7",http://twitter.com/capitalweather/statuses/901135063911366657,2017-08-25 17:31:56+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961588,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIF5WmfXsAEGNtk.jpg'],,901135063911366
37596,901152291365019653,"Mind-boggling and extremely troubling: European model simulates as much as 50-60"" of rain from #Harvey:… https://t.co/pLLDy3bBu5",http://twitter.com/capitalweather/statuses/901152291365019653,2017-08-25 18:40:23+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961630,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIGJDJBXcAMzbGO.jpg'],,901152291365019
32850,901178332414443526,WP-3D Orion #NOAA42 making multiple passes through the eye of #HurricaneHarvey now. Advisories at… https://t.co/soSEqJCk5c,http://twitter.com/NOAA_HurrHunter/statuses/901178332414443526,2017-08-25 20:23:52+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,219,53842,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIGg6WpW0AEuuxZ.jpg'],,901178332414443
97146,901195575504375808,Power outage model from university researchers projects nearly a million outages from #Harvey in Texas:… https://t.co/4QrVx2zkhU,http://twitter.com/capitalweather/statuses/901195575504375808,2017-08-25 21:32:23+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961782,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIGwhD3W0AAj0j9.jpg'],,901195575504375
110572,901223106697711616,"A look at Cat 4 #Hurricane Harvey, just hours from landfall. https://t.co/NcsIJyDdvE",http://twitter.com/capitalweather/statuses/901223106697711616,2017-08-25 23:21:47+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961865,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIHJnlkXYAAvzAf.jpg'],,901223106697711
79861,901239169808310273,824p: Harvey's destructive eyewall to move ashore next couple hours. Worst N of Corpus Christi https://t.co/VecmKgsgm5,http://twitter.com/capitalweather/statuses/901239169808310273,2017-08-26 00:25:36+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961927,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIHYPsVXcAQBzbe.mp4'],,901239169808310
58084,901246531151548416,WP-3D Orion #NOAA42 just returned from the last flight in #HurricaneHarvey.  Advisories at https://t.co/3phpgKMZaS… https://t.co/Cj2zGFmpvH,http://twitter.com/NOAA_HurrHunter/statuses/901246531151548416,2017-08-26 00:54:52+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,219,54366,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,"['http://pbs.twimg.com/media/DIHe5kUV0AAjWvS.jpg', 'http://pbs.twimg.com/media/DIHe5kTUwAA02K_.jpg', 'http://pbs.twimg.com/media/DIHe6BSVYAEwASG.jpg']",,901246531151548
